County,Year,Assault,Homicide,Sex Crime,Kidnapping,Robbery,Arson,Burglary,Forgery,Theft,Driving,Drugs,Other
LAKE,1999,13.5,0,0,27,0,0,94.3,0,40.4,80.9,107.8,94.3
LAKE,2000,80.5,13.4,120.8,0,0,0,80.5,0,67.1,0,389.3,161.1
LAKE,2001,133.3,13.3,80,0,13.3,0,80,0,66.7,93.3,200,240
LAKE,2002,94,13.4,53.7,0,0,0,161.1,0,67.1,40.3,228.2,187.9
LAKE,2003,81.1,13.5,54.1,0,0,0,121.6,13.5,108.1,0,175.7,216.2
LAKE,2004,93.3,0,66.7,13.3,0,0,133.3,0,66.7,40,106.7,120
LAKE,2005,93.3,0,93.3,0,0,0,40,0,66.6,26.6,119.9,159.9
LAKE,2006,66.3,0,53.1,0,0,13.3,66.3,13.3,66.3,66.3,212.2,265.3
LAKE,2007,66.1,0,26.4,0,0,0,13.2,0,105.8,13.2,237.9,198.3
LAKE,2008,158.2,0,79.1,0,0,0,39.6,0,118.7,52.7,369.1,131.8
LAKE,2009,52.6,0,92.1,0,0,0,52.6,13.2,65.8,52.6,368.4,157.9
LAKE,2010,101.4,0,63.4,0,0,0,101.4,38,101.4,50.7,570.3,139.4
LAKE,2011,152.2,0,63.4,0,0,0,114.1,12.7,139.5,76.1,837,152.2
LAKE,2012,88.4,0,50.5,0,0,12.6,75.8,12.6,63.1,75.8,858.6,151.5
LAKE,2013,75.6,12.6,12.6,0,0,12.6,63,12.6,50.4,25.2,466,314.9
LANE,1991,17.3,3.1,35.4,2.4,20.1,3.1,69,42,97.8,69.7,163.7,51.7
LANE,1992,17.5,4.1,34.6,0.7,15.7,0.3,63.6,28.1,78,66,159.8,52.4
LANE,1993,13.5,4,31,2,21.6,1.3,57.6,26.6,73.4,29,151.9,50.2
LANE,1994,10.9,3,26.5,2,17.6,2,53.1,18.9,79.3,36.2,183.8,51.4
LANE,1995,11.4,3.9,23.8,2.6,15,0.7,46.1,13.4,84.3,39.2,238.8,70.2
LANE,1996,19,7.1,25.5,1.9,20.6,1.9,46.1,14.8,72.8,44.5,220.7,64.1
LANE,1997,18.7,3.5,19,2.5,16.1,0.3,35.5,11.1,74.1,39.6,191.3,49.1
LANE,1998,31.1,6.9,25.4,2.5,20.4,2.2,46.1,16,89.4,33.6,211.8,58.7
LANE,1999,34.6,5,20.6,3.1,13.7,1.2,59.5,15,95.3,56.7,251.4,57.9
LANE,2000,32.1,4,29.9,2.2,17,1.5,45.1,17.9,101.3,33,284.3,61.1
LANE,2001,39.9,6.8,28.5,0.9,20.9,1.8,50,17.2,120.6,19.3,321.6,59.8
LANE,2002,50.3,4.3,23.2,4,9.4,1.8,49.1,13.7,128.3,20.1,382.8,67
LANE,2003,46.4,2.7,31.9,1.8,19.1,1.5,41.3,7.6,111.4,22.2,296.6,67.1
LANE,2004,41.4,2.1,31.2,4.2,13.2,0,43.8,6.6,117.9,17.4,385.8,85.2
LANE,2005,39.9,2.1,31.5,1.2,21.4,0.6,49.7,10.4,121.4,19,340.1,123.2
LANE,2006,40.6,2.9,25.9,0.9,15.3,1.5,47.7,9.1,151,25,287.3,133
LANE,2007,43.1,2.3,23.3,1.2,16.3,1.2,56.8,6.7,125.9,21.6,286.8,112.8
LANE,2008,38.5,3.5,24.3,0.9,19.4,2,41.6,6.4,112.5,26.6,205.9,81.8
LANE,2009,56.4,3.5,29.6,0.9,20.1,1.4,55.2,3.5,113.6,22.4,221.5,125.7
LANE,2010,70.7,2.6,38.4,1.1,18.2,3.7,50.3,3.7,116.5,24.7,214.2,113.6
LANE,2011,53.2,3.1,30.3,0.6,11.3,2,34,2,72.5,23.8,207.6,103.1
LANE,2012,60.4,3.7,34.2,2.3,16.7,0.6,37,1.1,76.5,24.8,165.2,91.5
LANE,2013,46.6,1.7,17.1,0.6,23.6,1.7,47.7,2.8,72.7,19.4,82.8,77.5
LINCOLN,1991,35.1,0,37.6,5,10,0,82.7,22.6,67.7,165.5,127.9,52.7
LINCOLN,1992,61.4,0,49.1,0,9.8,0,105.6,31.9,115.4,198.9,159.6,68.7
LINCOLN,1993,31,4.8,33.4,0,4.8,0,112.2,28.6,78.8,128.9,181.4,69.2
LINCOLN,1994,69.9,7,30.3,0,9.3,2.3,93.2,27.9,90.8,167.7,163,88.5
LINCOLN,1995,43.2,2.3,31.9,2.3,13.7,0,63.7,6.8,77.4,97.9,220.8,61.4
LINCOLN,1996,15.7,11.2,22.5,2.2,24.7,2.2,44.9,9,85.4,107.9,152.8,53.9
LINCOLN,1997,42.2,6.7,17.8,2.2,15.5,2.2,62.2,11.1,106.5,133.2,124.3,71
LINCOLN,1998,64.7,0,15.6,6.7,13.4,2.2,100.4,22.3,107,93.7,189.6,53.5
LINCOLN,1999,65.2,11.2,42.7,2.2,13.5,0,47.2,18,56.2,62.9,161.8,69.7
LINCOLN,2000,80.7,4.5,20.2,2.2,9,2.2,51.6,9,80.7,15.7,112.1,69.5
LINCOLN,2001,60.5,2.2,31.4,0,15.7,0,73.9,15.7,100.8,20.2,217.2,78.4
LINCOLN,2002,80.5,4.5,49.2,0,17.9,0,67.1,17.9,136.5,31.3,241.6,62.6
LINCOLN,2003,84.4,11.1,53.3,4.4,6.7,2.2,44.4,11.1,86.7,28.9,211.1,57.8
LINCOLN,2004,65.3,2.3,47.3,2.3,11.3,0,90.1,15.8,168.9,22.5,308.6,92.3
LINCOLN,2005,85.6,4.5,29.3,2.3,6.8,0,74.3,4.5,112.6,33.8,364.8,60.8
LINCOLN,2006,69.6,2.2,47.2,4.5,13.5,0,51.7,9,101.1,38.2,399.8,123.5
LINCOLN,2007,73.9,6.7,26.9,2.2,20.2,0,71.7,4.5,85.1,51.5,304.7,78.4
LINCOLN,2008,80.5,4.5,38,2.2,17.9,2.2,51.4,6.7,82.7,40.3,268.4,51.4
LINCOLN,2009,40.3,8.9,62.6,0,8.9,0,22.4,11.2,82.8,26.8,346.8,58.2
LINCOLN,2010,32.5,8.7,36.8,2.2,8.7,0,58.5,8.7,56.4,23.8,236.3,58.5
LINCOLN,2011,30.3,2.2,39,2.2,8.7,0,39,4.3,65,32.5,186.3,41.2
LINCOLN,2012,49.7,6.5,38.9,0,4.3,2.2,71.3,2.2,62.6,25.9,259.2,64.8
LINCOLN,2013,32.2,4.3,53.7,0,10.7,2.2,43,2.2,83.8,25.8,371.6,98.8
LINN,1991,24.7,3.2,44.1,7.5,14,0,84.9,45.1,94.6,36.5,153.6,75.2
LINN,1992,20.2,4.3,41.5,5.3,9.6,6.4,83,53.2,93.6,80.9,120.2,100
LINN,1993,13.6,3.1,55.6,4.2,22,5.2,63,42,93.4,57.7,137.5,83.9
LINN,1994,19.7,2.1,50.7,0,9.3,2.1,81.7,30,106.6,49.7,228.7,96.2
LINN,1995,26.4,4.1,55.8,6.1,15.2,1,110.6,17.3,135,50.8,348.2,146.2
LINN,1996,32.9,6,49.9,4,16,2,71.9,5,111.8,78.9,256.5,97.8
LINN,1997,26.6,4.9,63,8.9,21.7,0,73.8,4.9,112.2,74.8,222.5,83.7
LINN,1998,40.1,2,44.1,2.9,20.6,2,62.7,6.9,165.5,120.4,246.7,90.1
LINN,1999,47.7,6.8,56.5,7.8,11.7,1.9,53.5,12.7,87.6,117.8,223,80.8
LINN,2000,45.5,2.9,64.8,2.9,17.4,0,48.4,1.9,78.4,31.9,247.7,77.4
LINN,2001,42.5,2.9,58,2.9,17.4,0,52.2,11.6,104.3,22.2,308.2,68.6
LINN,2002,60.6,2.9,63.5,3.8,18.3,2.9,47.1,17.3,127.9,26.9,315.4,72.1
LINN,2003,50.5,2.9,60.1,1,10.5,1,56.2,14.3,133.5,25.7,274.5,64.8
LINN,2004,37.6,0.9,52.7,0.9,24.4,7.5,65.8,10.3,147.6,18.8,381.8,91.2
LINN,2005,42.9,4.7,56.9,2.8,18.7,1.9,54.1,13.1,129.7,29.9,392,80.3
LINN,2006,51.7,9.2,58.2,1.8,12,0,69.3,10.2,131.2,24.9,451.7,75.8
LINN,2007,52.1,3.7,75,2.7,20.1,1.8,56.7,10.1,151.8,19.2,401.6,98.8
LINN,2008,42.7,3.6,85.3,4.5,24.5,0.9,52.6,3.6,109.8,19.1,345.8,83.5
LINN,2009,58.6,2.7,79.4,6.3,17.1,3.6,47.8,6.3,103.7,19.8,265.2,85.7
LINN,2010,55.6,1.7,62.5,1.7,19.7,0.9,49.6,3.4,61.6,21.4,267,69.3
LINN,2011,36.7,1.7,68.2,0,6,4.3,41.8,3.4,75.9,20.5,290.6,54.5
LINN,2012,43.2,3.4,57.6,0,26.3,0.9,69.5,4.2,112.7,30.5,281.3,76.3
LINN,2013,50.6,2.5,50.6,0.8,14.3,1.7,53.9,6.7,101.1,23.6,292.4,59
MALHEUR,1991,33.5,7.4,122.8,0,7.4,11.2,89.3,26,74.4,186,130.2,107.9
MALHEUR,1992,43.3,3.6,90.2,3.6,3.6,3.6,57.7,50.5,25.2,151.5,198.3,165.9
MALHEUR,1993,63.5,7.1,95.3,3.5,3.5,0,63.5,35.3,70.6,173,123.5,130.6
MALHEUR,1994,52.1,3.5,55.6,10.4,24.3,0,59.1,59.1,90.4,201.6,100.8,191.2
MALHEUR,1995,40.7,0,57.6,10.2,3.4,0,74.6,17,81.4,118.7,145.8,105.1
MALHEUR,1996,53.1,0,59.7,3.3,19.9,0,63,13.3,79.6,122.8,132.7,155.9
MALHEUR,1997,71.8,6.5,55.5,0,3.3,3.3,78.4,13.1,94.7,111,215.5,137.2
MALHEUR,1998,61,6.4,45,0,9.6,0,51.4,16.1,115.6,118.8,256.9,144.5
MALHEUR,1999,44.7,3.2,73.4,3.2,9.6,0,51.1,12.8,111.7,67,146.8,156.3
MALHEUR,2000,66.1,3.1,53.5,0,9.4,0,44.1,6.3,113.4,44.1,267.7,129.1
MALHEUR,2001,62.5,3.1,50,0,9.4,6.3,46.9,6.3,75,43.8,265.6,162.5
MALHEUR,2002,46.9,6.3,62.5,9.4,9.4,0,34.4,18.8,103.1,40.6,265.6,146.9
MALHEUR,2003,106.3,0,62.5,3.1,15.6,0,18.8,6.3,68.8,28.1,368.8,171.9
MALHEUR,2004,81.6,6.3,87.9,3.1,9.4,0,44,6.3,109.9,31.4,423.9,144.4
MALHEUR,2005,81.8,0,66,0,12.6,0,28.3,28.3,97.5,18.9,380.5,122.6
MALHEUR,2006,72.5,9.5,41,3.2,6.3,0,63,15.8,78.8,31.5,290,163.9
MALHEUR,2007,63.3,6.3,66.4,6.3,6.3,3.2,50.6,0,98,34.8,265.7,139.2
MALHEUR,2008,50.5,6.3,72.6,6.3,3.2,6.3,28.4,6.3,113.7,22.1,180,120
MALHEUR,2009,50.4,12.6,47.3,0,31.5,6.3,78.8,6.3,75.7,15.8,186,50.4
MALHEUR,2010,57.4,6.4,28.7,3.2,12.8,3.2,47.9,6.4,51,9.6,210.6,47.9
MALHEUR,2011,92.2,12.7,63.6,6.4,9.5,0,41.3,0,54.1,31.8,216.3,50.9
MALHEUR,2012,76.5,3.2,35,3.2,12.7,0,41.4,0,121,19.1,254.8,76.5
MALHEUR,2013,63.6,3.2,38.2,0,6.4,3.2,54.1,0,79.5,25.5,219.5,54.1
MARION,1991,26.7,5.9,40.7,1.7,20.4,3.4,59.4,17.8,63.6,12.7,158.6,67.4
MARION,1992,20.2,6.6,38.4,2.5,20.7,1.2,60.3,22.3,50.4,6.6,157.8,69.8
MARION,1993,24.9,6,46.2,2.8,22.5,0.8,49.4,20.5,48.6,8,117.2,57
MARION,1994,24.7,5.5,30.2,3.1,16.5,2,44.8,11,66.8,11.8,148,80.9
MARION,1995,22.6,8.1,31.8,3.5,20.3,2.3,39.1,8.4,79.8,11.9,196.9,97.9
MARION,1996,24.8,8.6,32.7,2.6,17.7,3,32.7,10.5,79.7,14.3,145,86.4
MARION,1997,32.7,4,29.8,2.6,15.8,0.7,37.2,19.1,71,11,182.5,69.5
MARION,1998,38.6,5.1,23.5,1.4,23.8,0.7,27.4,20.9,86.7,24.6,198.3,84.5
MARION,1999,62.1,4.6,30.2,0,18.8,1.1,32.3,16,74.9,24.5,207.6,74.2
MARION,2000,76.5,5.2,34.2,2.4,19.2,0,43.7,21,103,27.9,221.4,78.9
MARION,2001,78,6.2,45.4,2.1,15.6,1,41.6,23.2,134.9,36.4,266.9,73.5
MARION,2002,67,2.7,47.4,4.8,22.3,1.4,46.7,16.2,132.6,27.5,276.6,80.4
MARION,2003,96.3,5.7,40.9,8.8,20.6,2.7,44.6,13.2,121.7,29.1,253.1,82.5
MARION,2004,90.1,6,42.6,5.4,17.8,1.3,55.3,18.4,172.9,34.8,345.1,112.9
MARION,2005,107.6,3.6,39.4,8.6,21.8,1.7,45,12.2,148.3,30.8,360.4,105.3
MARION,2006,113.8,4.2,42.4,5.9,19.2,1,39.5,8.8,107.3,31.3,342.4,99.5
MARION,2007,119.3,3.9,43.1,4.2,24.1,0.3,34.4,8.7,130.5,26.7,317.6,75.9
MARION,2008,112.1,2.9,54,3.8,26.4,0.6,42.2,4.4,104.2,24.8,261.1,69.9
MARION,2009,93,5,48.1,4.4,28,0.6,37.7,4.7,94,21.7,254.6,67.6
MARION,2010,70.3,2.8,57.6,4.4,18.4,1.9,38.3,11.1,97.2,32,241.5,62.7
MARION,2011,82,5.3,50.6,2.8,19.2,3.1,39.9,9.4,85.2,29.6,255.2,82.4
MARION,2012,73,2.8,56.8,4.4,23.7,1.3,38.4,3.4,96.7,29.3,240.6,70.2
MARION,2013,73.7,4.7,42.4,3.4,23.2,0.3,42.4,6.2,116.8,23.5,242.2,72.5
MORROW,1991,12.5,0,24.9,0,0,0,99.8,0,0,37.4,112.2,49.9
MORROW,1992,12.2,0,12.2,0,12.2,0,12.2,0,48.8,12.2,109.9,61.1
MORROW,1993,23.2,23.2,34.8,0,0,0,162.6,11.6,92.9,34.8,58.1,69.7
MORROW,1994,22.8,0,79.9,0,11.4,0,34.2,11.4,45.7,91.3,102.7,57.1
MORROW,1995,0,0,66.3,0,0,0,44.2,11,99.4,11,176.8,77.3
MORROW,1996,21.5,21.5,64.4,21.5,0,0,118.2,0,107.4,32.2,171.9,139.6
MORROW,1997,41.2,0,82.4,0,10.3,10.3,41.2,0,51.5,10.3,236.9,51.5
MORROW,1998,29.6,0,69.1,0,0,0,49.4,0,39.5,9.9,128.3,39.5
MORROW,1999,28,18.6,28,0,0,0,18.6,0,55.9,18.6,121.2,74.6
MORROW,2000,54.1,0,63.1,0,0,0,9,0,54.1,18,135.1,45
MORROW,2001,71.7,9,89.7,0,0,0,9,9,26.9,17.9,161.4,26.9
MORROW,2002,0,0,35.6,0,0,0,62.2,17.8,53.3,35.6,213.3,17.8
MORROW,2003,42.6,0,42.6,0,0,0,8.5,0,59.6,8.5,178.7,42.6
MORROW,2004,76.6,0,51.1,25.5,8.5,0,8.5,8.5,17,25.5,187.2,51.1
MORROW,2005,50.2,0,33.5,0,0,0,33.5,0,67,25.1,234.4,67
MORROW,2006,57.7,0,57.7,0,0,0,41.2,8.2,66,0,164.9,49.5
MORROW,2007,8.1,0,24.3,8.1,0,0,64.9,0,48.6,8.1,121.6,24.3
MORROW,2008,0,0,32,0,0,0,16,0,48.1,16,168.2,0
MORROW,2009,8,0,15.9,0,31.9,23.9,23.9,8,47.8,0,127.6,23.9
MORROW,2010,0,0,44.7,0,0,0,26.8,0,26.8,26.8,143.2,35.8
MORROW,2011,35.5,8.9,115.4,0,8.9,0,8.9,0,71,35.5,168.6,62.1
MORROW,2012,26.6,0,26.6,0,17.7,0,53.1,0,62,44.3,132.7,62
MORROW,2013,8.8,17.5,35,0,8.8,0,17.5,0,35,8.8,122.5,26.3
MULTNOMAH,1991,38.8,9.7,35.8,3.8,45.8,2.8,73.4,44.8,121.2,18.2,352,55.5
MULTNOMAH,1992,41,8.1,33.5,1.8,41.2,3,62.8,35.6,101.7,9.9,357.7,61.2
MULTNOMAH,1993,42.3,8.9,34.6,2.3,38.8,1.6,46.2,39.9,115.4,10.9,425.4,52.1
MULTNOMAH,1994,37.3,9.5,32.1,2.7,32.1,2.4,52.7,22.8,118.6,10.3,437,53.8
MULTNOMAH,1995,37.8,7.9,28,4.1,36.7,1.9,64.4,25.3,164.9,7.6,480.3,69.6
MULTNOMAH,1996,38.5,9.1,27.4,3.3,37.4,1.6,48.5,22.1,141.1,6.4,488.3,66.5
MULTNOMAH,1997,33.1,4.6,23.2,2.9,38.1,1.5,42.7,21.7,118.7,5.1,497.9,54
MULTNOMAH,1998,34.8,6.6,23.3,2.5,39.4,2,45.6,25.3,134.6,21,578,63.2
MULTNOMAH,1999,40.7,5.8,27.1,2.3,41.7,1.2,40,21,107.8,34.3,525.3,52.2
MULTNOMAH,2000,38,4.5,24,3.6,33.7,2.1,36.1,19,127.3,27.8,505.4,57.2
MULTNOMAH,2001,43.7,2.9,27,2.6,35.1,1.2,29.9,16.7,139.6,36.8,374.3,46.7
MULTNOMAH,2002,53.4,4.8,24.5,3.7,33.3,0.7,31.2,15.5,131,24.6,259.8,40.3
MULTNOMAH,2003,52.8,5.8,23.8,3.5,28.9,2.4,40.1,10.5,110.2,19.8,196.5,36.4
MULTNOMAH,2004,43.4,5.7,25.7,2.9,34.1,1.7,36.9,13,121.9,23.2,187.8,32.9
MULTNOMAH,2005,38.7,5.2,23.5,2.9,31.8,1.4,46.2,13.4,150.1,27,232.1,44.6
MULTNOMAH,2006,41.3,5.1,35.9,3,30.5,0.7,41.8,7.3,159.8,28.9,278.7,39.3
MULTNOMAH,2007,41.7,3.5,21.4,2.4,33.9,2.7,42.7,3.1,135.8,27.2,215.1,39.7
MULTNOMAH,2008,38.4,4.3,30.1,2.2,27.9,1.4,33.8,5.7,106.7,23.5,201.4,43.2
MULTNOMAH,2009,35.3,4.1,27.5,2.8,25.8,1.2,29.8,2.8,94.1,19.6,183.9,38.5
MULTNOMAH,2010,36.1,6.2,30.9,2.4,33.1,1.8,29.9,3.7,85.5,21.6,159.9,38.3
MULTNOMAH,2011,31.3,4,21.3,2,25.2,1.9,32.9,3.1,85.7,23.5,173.5,42.7
MULTNOMAH,2012,28.5,2.9,19.8,2.3,24.7,1.1,31.7,2.9,83.9,22.5,179.4,42.5
MULTNOMAH,2013,29,4,19.7,1.6,25.6,1.1,33.6,2,85.9,27.2,205.8,43
POLK,1991,11.7,13.6,29.2,3.9,15.6,5.8,52.6,13.6,39,134.5,126.7,21.4
POLK,1992,11.4,1.9,58.8,0,7.6,0,37.9,7.6,37.9,134.6,144,39.8
POLK,1993,22.3,1.9,35.3,1.9,5.6,1.9,22.3,13,33.4,105.8,122.5,29.7
POLK,1994,26.9,7.2,35.9,0,10.8,0,21.5,3.6,55.7,122.1,132.9,50.3
POLK,1995,24.7,12.4,22.9,1.8,10.6,1.8,30,5.3,58.2,102.4,195.9,44.1
POLK,1996,17.3,5.2,43.2,3.5,5.2,0,39.8,1.7,50.1,119.3,98.5,62.2
POLK,1997,15.2,6.7,16.8,3.4,6.7,0,43.8,10.1,50.5,106.1,158.3,45.5
POLK,1998,23,6.6,34.5,3.3,8.2,0,26.3,8.2,46,120,133.2,39.5
POLK,1999,34,4.9,17.8,0,6.5,0,35.6,8.1,55.1,94,121.5,24.3
POLK,2000,31.9,1.6,28.7,3.2,4.8,0,15.9,4.8,73.4,33.5,248.8,41.5
POLK,2001,47.2,1.6,31.4,0,14.2,0,39.3,15.7,81.8,18.9,327,66
POLK,2002,31.5,3.2,41,0,7.9,4.7,31.5,7.9,70.9,3.2,318.4,22.1
POLK,2003,25,3.1,50,0,12.5,1.6,18.8,6.3,87.5,21.9,237.5,42.2
POLK,2004,29.3,3.1,60,0,3.1,3.1,32.3,9.2,86.2,13.9,289.5,24.6
POLK,2005,47.2,3,51.8,0,3,0,22.8,6.1,79.2,15.2,261.9,19.8
POLK,2006,34.5,3,52.5,0,6,0,36,12,84,12,288,40.5
POLK,2007,50.4,0,38.5,4.4,5.9,3,43,8.9,88.9,13.3,237,66.7
POLK,2008,33.7,1.5,52.8,1.5,2.9,1.5,19.1,4.4,73.3,26.4,187.6,45.4
POLK,2009,45.1,1.5,46.5,4.4,4.4,4.4,36.3,4.4,68.3,14.5,254.4,46.5
POLK,2010,58.3,1.3,59.6,0,9.3,2.6,31.8,6.6,55.6,13.2,217.2,38.4
POLK,2011,0,0,0,0,0,0,0,0,0,0,0,0
POLK,2012,0,0,0,0,0,0,0,0,0,0,0,0
POLK,2013,0,0,0,0,0,0,0,0,0,0,0,0
SHERMAN,1991,155.4,0,0,0,0,0,207.3,0,0,103.6,207.3,51.8
SHERMAN,1992,0,0,0,0,0,0,51.5,0,51.5,103.1,154.6,0
SHERMAN,1993,50.8,0,0,0,0,0,0,0,101.5,101.5,101.5,0
SHERMAN,1994,0,0,153.8,0,0,0,51.3,0,153.8,102.6,102.6,256.4
SHERMAN,1995,0,0,101,0,0,0,101,101,50.5,101,101,50.5
SHERMAN,1996,0,0,0,0,0,0,104.2,0,52.1,260.4,0,156.3
SHERMAN,1997,52.1,0,52.1,0,52.1,0,156.3,0,104.2,364.6,468.8,156.3
SHERMAN,1998,0,0,0,0,0,0,0,104.2,52.1,104.2,208.3,104.2
SHERMAN,1999,103.6,0,51.8,51.8,0,0,0,0,155.4,155.4,103.6,103.6
SHERMAN,2000,153.8,0,51.3,0,0,0,153.8,0,307.7,0,153.8,102.6
SHERMAN,2001,210.5,0,105.3,0,0,0,52.6,0,263.2,0,263.2,210.5
